state,up,down,right,left
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,29.926859216250055,0.0
18,0.0,0.0,29.70340605648549,17.749387012635115
19,0.0,0.0,28.02821472030356,17.906411779513604
20,0.0,0.0,28.085893976955166,19.691949635876075
21,0.0,0.0,29.377653000315192,17.858001922779167
22,0.0,0.0,28.321540258324056,17.987503959445874
23,0.0,28.099245308513503,0.0,20.14226383277364
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,18.793263928700657,29.08540330546525,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,1.2734612471928566,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,29.223993574270192,20.126812385184778,0.0
54,0.0,0.0,16.977580761711586,28.59840047147574
55,17.729697723465865,0.0,15.582320183594732,28.979113577894545
56,0.0,0.0,4.08230226195688,17.155068981596827
57,0.0,1.0901250546892296,0.8,3.1603822057451034
58,0.0,0.0,0.9291312330330775,-0.02696244449201566
59,0.0,0.0,2.2204387016010037,1.07
60,0.0,0.0,2.982926908264897,3.1518435672262424
61,0.0,0.0,3.2170852826223353,2.7496607410521996
62,0.0,0.0,0.0,1.2502738828352085
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,2.177618179407365,17.113242847459,0.0,0.0
68,0.0,0.0,0.0,0.0
