state,up,down,right,left
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,-3.3964507245770004,-4.23760938552739,0.0
12,0.0,0.0,-4.6183487239900005,-4.4618540749093
13,0.0,0.0,0.0,-6.8594532900193
14,0.0,0.0,0.0,0.0
15,0.0,-6.122781839530001,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,-7.451983483987637,0.0
18,0.0,-4.611754692590285,0.0,-4.9005223879429
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,-3.8492164711000005,-4.390399533343917,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,-4.111742179,-3.2054947217,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,-3.3677465204512,-2.67396099020837,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,-0.84778304452739,-3.544420829373367,3.275904549667332,0.0
32,0.0,0.0,3.25819118325273,-6.779692022675555
33,0.0,3.2320490321574953,0.0,-6.850083131716716
34,0.0,0.0,0.0,0.0
35,-3.6286623100000006,-4.096634492350001,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,-5.096912578216633,-4.813848446974651,0.0
38,-3.2508688020353023,0.0,0.0,-3.32877827431837
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,3.2875651803892145,-5.812845407014777,0.0,0.0
42,0.0,0.0,0.0,0.0
43,-4.145369593299235,3.193777720836869,0.0,0.0
44,0.0,0.0,0.0,0.0
45,-1.9009646352190002,-1.857720192319231,0.0,0.0
46,0.0,0.0,0.0,0.0
47,-4.1515648764319,-4.286647050547766,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,3.294605004808419,-4.371941794151435,0.0,0.0
52,0.0,0.0,0.0,0.0
53,-5.853094707650976,0.0,3.1379856744498342,0.0
54,0.0,0.0,3.0570689973765663,-5.049221537644549
55,-1.3426651436569998,0.0,2.9403626133315584,-3.092418460961949
56,0.0,0.0,2.7728005391003627,-3.8270891831430647
57,-0.6948971140203675,2.5329164949461145,0.0,-2.1300175699999997
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,3.297971152577187,-7.276932979694599,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,-5.062537890476072,2.189984463641598,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,3.298544523997718,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,-5.073470926688711,-4.809553333197881,0.0
74,0.0,0.0,-5.4379812613497736,-5.851829901049467
75,0.0,0.0,-2.8576101941066328,-3.9225438081486104
76,0.0,0.0,-3.533836405062574,-4.7048054635612
77,-3.5340647328316224,1.6999985536501192,0.0,-1.3736138515910004
78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,-7.71054144842407,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,-5.004324942683042,0.9999999992944921,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
