state,up,down,right,left
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,-4.68145657,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,-5.068706466750157,2.899874809760054,0.0
18,0.0,0.0,2.901599334053764,-6.46580324575957
19,0.0,0.0,2.9175505886634636,-3.7054056187531974
20,0.0,0.0,2.935183938645914,-4.0279081429
21,0.0,2.9392647428155616,0.0,-4.795027606746604
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,-2.343151,-1.2787973,0.0,0.0
30,0.0,0.0,0.0,0.0
31,2.9102840272264716,-4.479166517727718,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,-3.6078322203053506,2.9265184851675525,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,-1.3769297900000002,-1.4877973,2.910103046723165,0.0
44,0.0,0.0,2.9193491771378266,-4.560223201287501
45,2.9197958092687535,0.0,0.0,-4.4048151987490005
46,0.0,0.0,0.0,0.0
47,0.0,-5.213310913,0.0,0.0
48,0.0,0.0,0.0,0.0
49,-4.890955436968959,0.0,2.9086137378863723,0.0
50,0.0,0.0,2.9003366938354294,-3.2652404871391894
51,0.0,2.9037282102911095,-3.620548386910001,-3.8232173286099997
52,0.0,0.0,-3.0919069,-3.6253142317
53,0.0,0.0,0.0,-5.205457396000001
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,2.898989655581093,-3.14091757,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,-2.7305459,-3.2054947217,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,-4.38267145123,2.898999875169626,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
