state,up,down,right,left
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,3.048396909836046,-1.5310331,0.0
10,0.0,0.0,-1.6410331000000002,-1.534464601596567
11,0.0,0.0,-1.6410331000000002,-1.641997
12,0.0,0.0,-1.819,-2.631997
13,0.0,0.0,0.0,-2.7043299999999997
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,-1.8425775680965977,3.0454600697014746,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,-1.8517964418549058,3.01881018656002,-1.5310331,0.0
26,0.0,0.0,-1.6410331000000002,-1.6117758948559797
27,0.0,0.0,-1.6410331000000002,-1.641997
28,0.0,0.0,-1.6410331000000002,-1.641997
29,0.0,0.0,-1.819,-2.631997
30,0.0,0.0,0.0,-2.7043299999999997
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,-3.3388968951646776,2.96528085397996,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,-2.084537252949918,-0.804547079,2.8796392167453213,0.0
42,0.0,0.0,2.74297227861274,-0.8502134710235751
43,0.0,-0.7190000000000001,2.523861601626024,-1.8402166020807895
44,0.0,0.0,2.1886089561004756,-0.8450117818937599
45,0.0,0.0,1.6997482569638769,-0.9044397384805857
46,0.0,0.0,0.9999734386011123,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,-5.853380660861473,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,-2.614651625119378,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
