state,up,down,right,left
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,-7.17060618155476,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,-7.17350796101737,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,-5.351299080927152,3.2245220329823687,0.0
20,0.0,0.0,3.189770498853391,-5.93120510727581
21,0.0,3.13645212983949,0.0,-4.726098206729617
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,-4.390297510591,-4.8335914811875345,0.0,0.0
26,0.0,0.0,0.0,0.0
27,-3.290297510591,-3.6863661239078946,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,3.2469101375486416,-4.7918974523854425,0.0,0.0
32,0.0,0.0,0.0,0.0
33,-6.492335996688287,3.0567968616257692,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,-4.670549834621772,0.0,-3.7142633743183704,0.0
38,0.0,0.0,-3.834089028668734,-3.355940687974651
39,-1.6409298090746507,-3.3395347730652585,3.2912347539838542,-1.686157664381
40,0.0,0.0,3.2873096058354645,-6.828464406489424
41,0.0,0.0,3.2809531625542534,-5.198286471219456
42,0.0,0.0,3.2725742195439995,-4.700626837636112
43,3.2618067232754777,0.0,0.0,-6.703015920651197
44,0.0,0.0,0.0,0.0
45,-5.429884905912358,2.9404847151916678,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,3.292281659124008,-7.00477366940788,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,-3.4126823308620993,2.7729257734768877,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,3.2905566729390903,-6.793444857716027,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,-8.330984715901149,0.0
